Country,Year,iso_code,owid_co2_luc,Population,cumulative,cumulative100,cumulativeAbsorption,cumulativeAbsorptionFix,carbonLand
Afghanistan,2021,AFG,12.241,0,559.514,547.273,318.92775768061,12.241,0
Africa,2021,,2610.896,0,175521.575,165456.779,102100.50091747,2610.896,0
"Africa (GCP)",2021,,0,0,0,0,0,0,0
"Aland Islands",2021,ALA,0,0,0,0,0,0,0
Albania,2021,ALB,4.582,0,555.742,551.16,298.96244954289,4.582,0
Algeria,2021,DZA,178.321,0,5799.416,5598.932,4063.3593786445,178.321,0
"American Samoa",2021,ASM,0,0,0,0,0,0,0
Andorra,2021,AND,0.453,0,16.295,16.285,13.202381888964,0.453,0
Angola,2021,AGO,90.283,0,6569.972,6479.689,3772.1842117633,90.283,0
Anguilla,2021,AIA,0.145,0,3.589,3.444,2.9369532506321,0.145,0
Antarctica,2021,ATA,0,0,0,0,0,0,0
"Antigua and Barbuda",2021,ATG,0.469,0,20.61,20.141,13.684386753493,0.469,0
Argentina,2021,ARG,218.069,0,21379.014,17895.802,11231.779142513,218.069,0
Armenia,2021,ARM,7.282,0,631.671,570.503,337.89656744588,7.282,0
Aruba,2021,ABW,0,0,0,0,0,0,0
Asia,2021,,23784.027,0,818805.408,758813.55,544011.5564388,23784.027,0
"Asia (GCP)",2021,,0,0,0,0,0,0,0
"Asia (excl. China and India)",2021,,9189.079,0,414305.599,380223.769,260042.00163308,9189.079,0
Australia,2021,AUS,399.138,0,32711.873,29784.867,18995.242301643,399.138,0
Austria,2021,AUT,62.391,0,5756.585,4143.364,2812.3334894783,62.391,0
Azerbaijan,2021,AZE,46.077,0,3368.73,3043.719,1854.032693613,46.077,0
Bahamas,2021,BHS,2.35,0,174.234,171.884,105.6111420425,2.35,0
Bahrain,2021,BHR,39.016,0,972.278,933.262,724.17019177857,39.016,0
Bangladesh,2021,BGD,112.668,0,3872.726,3760.058,2440.72566175,112.668,0
Barbados,2021,BRB,0.979,0,56.334,55.355,39.0165741319,0.979,0
Belarus,2021,BLR,56.048,0,8820.252,6460.888,3813.7827354104,56.048,0
Belgium,2021,BEL,98.873,0,12863.01,9970.816,5857.0000038191,98.873,0
Belize,2021,BLZ,3.584,0,222.232,218.648,141.17963756526,3.584,0
Benin,2021,BEN,19.334,0,1361.424,1342.09,924.84893321346,19.334,0
Bermuda,2021,BMU,0,0,0,0,0,0,0
Bhutan,2021,BTN,8.117,0,636.849,628.732,427.38082727707,8.117,0
Bolivia,2021,BOL,36.952,0,5936.085,5899.133,3550.6780126727,36.952,0
"Bonaire Sint Eustatius and Saba",2021,BES,0.103,0,8.843,8.74,4.7135491585783,0.103,0
"Bosnia and Herzegovina",2021,BIH,13.64,0,1746.366,1463.685,797.98023644038,13.64,0
Botswana,2021,BWA,6.317,0,274.162,267.845,203.70909892211,6.317,0
Brazil,2021,BRA,1481.862,0,126316.501,119269.549,74065.893478927,1481.862,0
"British Virgin Islands",2021,VGB,0,0,0,0,0,0,0
Brunei,2021,BRN,11.616,0,457.483,432.776,291.86121513964,11.616,0
Bulgaria,2021,BGR,37.614,0,4939.287,4526.16,2568.7255463059,37.614,0
"Burkina Faso",2021,BFA,9.106,0,954.221,945.115,657.63487722882,9.106,0
Burundi,2021,BDI,4.98,0,387.81,382.83,222.00469290139,4.98,0
Cambodia,2021,KHM,48.927,0,5000.875,4539.124,2403.8240746049,48.927,0
Cameroon,2021,CMR,37.07,0,2541.563,2504.493,1535.1400249986,37.07,0
Canada,2021,CAN,655.994,0,72651.628,58748.326,34677.672356772,655.994,0
"Cape Verde",2021,CPV,0.558,0,19.188,18.63,14.321916824707,0.558,0
"Central African Republic",2021,CAF,3.818,0,408.907,405.089,250.68773342746,3.818,0
"Central America (GCP)",2021,,0,0,0,0,0,0,0
Chad,2021,TCD,22.129,0,688.76,666.631,507.83449503305,22.129,0
Chile,2021,CHL,116.334,0,6985.561,6005.318,3721.6269109668,116.334,0
China,2021,CHN,11799.967,0,305424.988,289241.378,224536.80686688,11799.967,0
"Christmas Island",2021,CXR,0,0,0,0,0,0,0
Colombia,2021,COL,220.163,0,18382.504,18162.341,8509.2739168698,220.163,0
Comoros,2021,COM,0.262,0,13.837,13.575,9.3469156697587,0.262,0
Congo,2021,COG,26.371,0,1272.986,1246.615,830.46765093087,26.371,0
"Cook Islands",2021,COK,0,0,0,0,0,0,0
"Costa Rica",2021,CRI,7.6,0,1425.868,1418.268,740.96756101282,7.6,0
"Cote d'Ivoire",2021,CIV,52.524,0,12914.248,9454.975,4917.9115485793,52.524,0
Croatia,2021,HRV,15.247,0,1846.979,1553.847,857.02273413553,15.247,0
Cuba,2021,CUB,14.839,0,4701.888,4687.049,2380.3377598659,14.839,0
Curacao,2021,CUW,1.88,0,580.125,578.245,301.06267793702,1.88,0
Cyprus,2021,CYP,6.794,0,252.154,245.36,176.28280873961,6.794,0
Czechia,2021,CZE,74.934,0,11759.068,9730.363,5879.3135438488,74.934,0
"Democratic Republic of Congo",2021,COD,401.287,0,23054.62,22615.334,14211.594208144,401.287,0
Denmark,2021,DNK,30.42,0,5317.485,4260.763,2498.5236765734,30.42,0
Djibouti,2021,DJI,0.452,0,23.713,23.261,16.527109956613,0.452,0
Dominica,2021,DMA,0.085,0,3.924,3.839,2.7497553642349,0.085,0
"Dominican Republic",2021,DOM,28.263,0,1554.565,1526.302,915.06341470212,28.263,0
"East Timor",2021,TLS,4.987,0,107.914,102.927,90.784254083842,4.987,0
Ecuador,2021,ECU,45.792,0,4689.303,4595.887,2483.550907968,45.792,0
Egypt,2021,EGY,249.917,0,6980.706,6716.472,5212.7471563275,249.917,0
"El Salvador",2021,SLV,6.252,0,407.068,400.816,252.52888791778,6.252,0
"Equatorial Guinea",2021,GNQ,6.214,0,295.824,289.61,202.54858161067,6.214,0
Eritrea,2021,ERI,7.269,0,94.008,86.739,71.029271670428,7.269,0
Estonia,2021,EST,10.009,0,1665.593,1286.28,804.4268631801,10.009,0
Eswatini,2021,SWZ,1.93,0,163.122,161.192,91.353149416523,1.93,0
Ethiopia,2021,ETH,249.321,0,6389.811,6140.49,4177.2533134193,249.321,0
Europe,2021,,5552.516,0,662838.843,517203.54,312425.0364765,5552.516,0
"Europe (GCP)",2021,,0,0,0,0,0,0,0
"Europe (excl. EU-27)",2021,,2950.54,0,358031.295,264544.656,159152.07670628,2950.54,0
"Europe (excl. EU-28)",2021,,2597.501,0,281951.193,212354.99,128826.21739864,2597.501,0
"European Union (27)",2021,,2601.976,0,304807.545,252658.88,153272.95685142,2601.976,0
"European Union (27) (GCP)",2021,,0,0,0,0,0,0,0
"European Union (28)",2021,,2955.014,0,380887.639,304848.546,183598.81542407,2955.014,0
"Falkland Islands",2021,FLK,0,0,0,0,0,0,0
"Faroe Islands",2021,FRO,0.772,0,33.437,32.665,23.153952626726,0.772,0
Fiji,2021,FJI,1.617,0,102.801,101.184,63.807468233418,1.617,0
Finland,2021,FIN,56.985,0,6205.742,4507.297,2945.7438140029,56.985,0
France,2021,FRA,290.245,0,34083.566,28566.105,17094.30591858,290.245,0
"French Equatorial Africa (GCP)",1958,,0,0,0,0,0,0,0
"French Equatorial Africa (Jones et al. 2023)",2021,,0,0,0,0,0,0,0
"French Guiana",2021,GUF,1.824,0,78.384,73.789,53.986252395117,1.824,0
"French Polynesia",2021,PYF,0,0,0,0,0,0,0
"French West Africa (GCP)",1957,,0,0,0,0,0,0,0
"French West Africa (Jones et al. 2023)",2021,,0,0,0,0,0,0,0
Gabon,2021,GAB,16.082,0,1005.244,989.162,646.60220722073,16.082,0
Gambia,2021,GMB,0.692,0,65.409,64.717,42.083888303032,0.692,0
Georgia,2021,GEO,1.813,0,241.054,-218.224,-43.376497909183,1.813,0
Germany,2021,DEU,668.781,0,91895.626,75376.525,43823.861760687,668.781,0
Ghana,2021,GHA,21.313,0,2936.381,2915.068,1592.6829114625,21.313,0
Greece,2021,GRC,26.448,0,5520.313,4910.534,3054.752899133,26.448,0
Greenland,2021,GRL,0.511,0,33.551,33.04,21.933791437319,0.511,0
Grenada,2021,GRD,0.246,0,5.311,5.065,3.6467789128874,0.246,0
Guadeloupe,2021,GLP,2.254,0,102.589,95.612,70.991078284676,2.254,0
Guatemala,2021,GTM,38.867,0,3351.294,3312.427,1891.7671804245,38.867,0
Guernsey,2021,GGY,0,0,0,0,0,0,0
Guinea,2021,GIN,25.58,0,4872.285,2988.036,1462.8231109586,25.58,0
Guinea-Bissau,2021,GNB,0.572,0,204.029,203.457,111.37566926733,0.572,0
Guyana,2021,GUY,8.291,0,745.441,737.15,426.53101988327,8.291,0
Haiti,2021,HTI,8.518,0,459.166,450.648,281.64244732144,8.518,0
"High-income countries",2021,,12714.17,0,1188775.652,957280.35,600411.06340056,12714.17,0
Honduras,2021,HND,31.526,0,2052.919,2021.393,1134.8754700876,31.526,0
"Hong Kong",2021,HKG,31.811,0,1664.879,1633.068,1207.5569251348,31.811,0
Hungary,2021,HUN,40.357,0,5695.748,4504.676,2677.7429207452,40.357,0
Iceland,2021,ISL,3.412,0,321.626,265.747,151.30181945282,3.412,0
India,2021,IND,2794.982,0,99074.826,89348.402,59432.748412736,2794.982,0
Indonesia,2021,IDN,1649.521,0,87410.388,73255.761,49683.434198629,1649.521,0
"International transport",2021,,0,0,0,0,0,0,0
Iran,2021,IRN,725.796,0,20910.804,19989.062,14872.313562012,725.796,0
Iraq,2021,IRQ,201.629,0,5355.267,5153.638,3853.6575205652,201.629,0
Ireland,2021,IRL,42.084,0,2088.063,1971.267,1310.9827575898,42.084,0
"Isle of Man",2021,IMN,0,0,0,0,0,0,0
Israel,2021,ISR,56.617,0,2481.995,2425.378,1788.5809183498,56.617,0
Italy,2021,ITA,290.692,0,24571.413,21899.399,14408.540723903,290.692,0
Jamaica,2021,JAM,8.093,0,633.523,625.43,422.77858677927,8.093,0
Japan,2021,JPN,1070,0,71644.439,67743.984,44774.94727709,1070,0
Jersey,2021,JEY,0,0,0,0,0,0,0
Jordan,2021,JOR,25.484,0,770.57,745.086,583.73609842289,25.484,0
Kazakhstan,2021,KAZ,267.377,0,18383.199,16310.144,9948.1607456925,267.377,0
Kenya,2021,KEN,28.376,0,2989.683,2961.307,1825.5162265169,28.376,0
Kiribati,2021,KIR,0,0,0,0,0,0,0
Kosovo,2021,,0,0,0,0,0,0,0
Kuwait,2021,KWT,106.134,0,3488.124,3381.99,2528.065015431,106.134,0
"Kuwaiti Oil Fires (GCP)",1991,,0,0,0,0,0,0,0
"Kuwaiti Oil Fires (Jones et al. 2023)",2021,,0,0,0,0,0,0,0
Kyrgyzstan,2021,KGZ,9.345,0,1214.219,1067.55,595.88300859968,9.345,0
Laos,2021,LAO,69.509,0,2621.037,2551.528,1850.3688998047,69.509,0
Latvia,2021,LVA,9.904,0,1714.884,1059.947,629.77686070776,9.904,0
"Least developed countries (Jones et al. 2023)",2021,,0,0,0,0,0,0,0
Lebanon,2021,LBN,24.996,0,778.249,753.253,566.42935883405,24.996,0
"Leeward Islands (GCP)",1956,,0,0,0,0,0,0,0
"Leeward Islands (Jones et al. 2023)",2021,,0,0,0,0,0,0,0
Lesotho,2021,LSO,6.642,0,139.758,133.116,116.43899870219,6.642,0
Liberia,2021,LBR,18.086,0,1025.149,1007.063,624.64924384824,18.086,0
Libya,2021,LBY,74.122,0,2282.533,2208.411,1636.5574143655,74.122,0
Liechtenstein,2021,LIE,0,0,0,0,0,0,0
Lithuania,2021,LTU,12.672,0,3006.116,2123.464,1187.1365363654,12.672,0
"Low-income countries",2021,,1135.32,0,78608.512,74996.714,45676.203424096,1135.32,0
"Lower-middle-income countries",2021,,8138.495,0,406796.189,362406.924,235792.70548255,8138.495,0
Luxembourg,2021,LUX,8.428,0,750.192,741.764,450.53027065659,8.428,0
Macao,2021,MAC,0,0,0,0,0,0,0
Madagascar,2021,MDG,34.582,0,5827.218,5792.636,3024.2764210663,34.582,0
Malawi,2021,MWI,5.912,0,1138.044,1132.132,630.80863102595,5.912,0
Malaysia,2021,MYS,404.844,0,17993.39,16128.878,11302.783709731,404.844,0
Maldives,2021,MDV,0,0,0,0,0,0,0
Mali,2021,MLI,-1.949,0,1313.257,1315.206,906.52433609672,-1.949,0
Malta,2021,MLT,1.688,0,100.568,98.88,71.000093997247,1.688,0
"Marshall Islands",2021,MHL,0,0,0,0,0,0,0
Martinique,2021,MTQ,1.77,0,106.25,99.373,70.955803316168,1.77,0
Mauritania,2021,MRT,4.228,0,134.197,128.305,88.959253564987,4.228,0
Mauritius,2021,MUS,4.728,0,123.647,118.919,96.313632106268,4.728,0
Mayotte,2021,MYT,0.273,0,7,6.727,5.6368665073238,0.273,0
Mexico,2021,MEX,667.459,0,35423.52,31638.522,20898.884654799,667.459,0
"Micronesia (country)",2021,FSM,0,0,0,0,0,0,0
"Middle East (GCP)",2021,,0,0,0,0,0,0,0
Moldova,2021,MDA,1.498,0,1932.476,1597.641,822.98518844206,1.498,0
Mongolia,2021,MNG,43.061,0,1234.52,1191.459,766.8617774044,43.061,0
Montenegro,2021,MNE,1.898,0,231.501,170.252,76.258305921457,1.898,0
Montserrat,2021,MSR,0.021,0,-0.0030000000000001,-0.024,0.27273025656739,0.021,0
Morocco,2021,MAR,68.159,0,3129.063,3060.904,1969.0204806303,68.159,0
Mozambique,2021,MOZ,35.222,0,4699.717,4664.495,2290.2776743083,35.222,0
Myanmar,2021,MMR,140.657,0,6894.772,6754.115,4345.2078027901,140.657,0
Namibia,2021,NAM,9.474,0,189.395,179.921,151.46435725488,9.474,0
Nauru,2021,NRU,0,0,0,0,0,0,0
Nepal,2021,NPL,29.269,0,1536.641,1507.372,938.08802436818,29.269,0
Netherlands,2021,NLD,143.097,0,12517.417,11133.869,7028.8244014204,143.097,0
"Netherlands Antilles",2021,ANT,0,0,0,0,0,0,0
"New Caledonia",2021,NCL,5.24,0,175.179,169.939,117.76791620383,5.24,0
"New Zealand",2021,NZL,37.161,0,4750.756,3732.825,1971.3392793594,37.161,0
Nicaragua,2021,NIC,10.886,0,2904.048,2893.162,1577.6740425573,10.886,0
Niger,2021,NER,39.705,0,1125.434,1085.729,835.87019029294,39.705,0
Nigeria,2021,NGA,122.807,0,14529.939,14234.496,7688.4593595132,122.807,0
Niue,2021,NIU,0,0,0,0,0,0,0
